model,acq_rate,acq_n,ar_rate,ar_n,total,mean_rounds,acq_ci_lo,acq_ci_hi,ar_ci_lo,ar_ci_hi
Anthropic claude-3.5-haiku,0.0133,1,0.9867,74,75,10.0,0.0024,0.0717,0.9283,0.9976
Anthropic claude-sonnet-4.5,0.0,0,1.0,75,75,10.0,0.0,0.0487,0.9513,1.0
DeepSeek deepseek-chat-v3.1,0.5333,40,0.44,33,75,10.0,0.4216,0.6418,0.3333,0.5525
Google gemini-2.5-flash,0.36,27,0.64,48,75,10.0,0.2606,0.473,0.527,0.7394
Google gemini-2.5-flash-lite,0.88,66,0.12,9,75,10.0,0.7874,0.9356,0.0644,0.2126
Google gemini-2.5-pro,0.4667,35,0.5333,40,75,10.0,0.3582,0.5784,0.4216,0.6418
Meta llama-4-maverick,0.88,66,0.12,9,75,10.0,0.7874,0.9356,0.0644,0.2126
Mistral mistral-medium-3.1,1.0,75,0.0,0,75,10.0,0.9513,1.0,0.0,0.0487
Moonshot kimi-k2,0.08,6,0.8933,67,75,10.0,0.0372,0.1637,0.8034,0.945
OpenAI gpt-3.5-turbo,0.64,48,0.32,24,75,10.0,0.527,0.7394,0.2254,0.4321
OpenAI gpt-4.1-nano,0.0933,7,0.8933,67,75,10.0,0.0459,0.1803,0.8034,0.945
OpenAI gpt-4o-mini,0.4667,35,0.4933,37,75,10.0,0.3582,0.5784,0.3833,0.604
OpenAI gpt-5,0.1733,13,0.8267,62,75,10.0,0.1042,0.2743,0.7257,0.8958
OpenAI gpt-5-mini,0.4667,35,0.5333,40,75,10.0,0.3582,0.5784,0.4216,0.6418
OpenAI gpt-5-nano,0.3067,23,0.6933,52,75,10.0,0.2139,0.4183,0.5817,0.7861
Z.AI glm-4.5-air,0.52,39,0.4667,35,75,10.0,0.4087,0.6293,0.3582,0.5784
xAI grok-3-mini,0.0,0,1.0,75,75,10.0,0.0,0.0487,0.9513,1.0
xAI grok-4,0.0133,1,0.9867,74,75,10.0,0.0024,0.0717,0.9283,0.9976
xAI grok-4-fast,0.0133,1,0.9867,74,75,10.0,0.0024,0.0717,0.9283,0.9976
